elapsed_s,batch_id,input_rows,input_rps,proc_rps
16,0,24,0.0,1.884274161890555
24,1,30,2.3455824863174355,4.688232536333802
32,2,30,4.6875,5.471457231442641
40,4,30,3.766005523474768,5.770340450086556
48,5,30,5.769230769230769,5.3059780686239835
56,7,18,2.570327002713123,4.176334106728539
64,8,30,6.958942240779401,5.737234652897303
72,10,30,4.918839153959666,7.159904534606205
80,11,30,7.158196134574087,7.105637138796778
88,13,30,4.996668887408394,6.8744271310724105
96,15,30,7.37100737100737,4.524886877828054
104,17,24,5.708848715509039,5.991013479780329
112,18,30,7.486897928624907,5.413208228076507
120,20,30,5.902026362384419,7.376444553725104
